EventID,EventDate,X,Y,Z,ZoneID,PlumeID,SuperPlume,spatialdist
030317-2018,2/9/2018 0:00:00,2533373.71905486,6999049.59836036,39,48748,54276,2210,551.2284159008512
019383-2018,1/26/2018 0:00:00,2533695.2016796,6997729.2082846,25,48218,54276,2210,550.2677664036263
021962-2018,1/29/2018 0:00:00,2533136.453125189,6999059.41789451,28,48772,54276,2210,547.0661887772593
027768-2018,2/6/2018 0:00:00,2534128.62207261,6999062.99990836,36,48918,54276,2210,548.7450829639502
048428-2018,3/6/2018 0:00:00,2533810.62927027,6998992.958381769,64,48914,54276,2210,546.9592328726602
048435-2018,3/6/2018 0:00:00,2533810.62927027,6998992.958381769,64,48914,54276,2210,546.9592328726602
048460-2018,3/6/2018 0:00:00,2533760.48074852,6998960.11789627,64,48914,54276,2210,546.9592328726602
048370-2018,3/6/2018 0:00:00,2533760.48074852,6998960.11789627,64,48914,54276,2210,546.9592328726602
047060-2018,3/3/2018 0:00:00,2533280.54863752,6999508.335303769,61,49006,54276,2210,555.0149915399834
045947-2018,3/4/2018 0:00:00,2533943.11030452,6998889.16626652,62,48918,54276,2210,548.7450829639502
048455-2018,3/6/2018 0:00:00,2533965.87305428,6999109.06346452,64,48914,54276,2210,546.9592328726602
048420-2018,3/6/2018 0:00:00,2534005.3536183494,6999166.655212848,64,48914,54276,2210,546.9592328726602
048375-2018,3/6/2018 0:00:00,2534033.3722631,6999230.78763051,64,48914,54276,2210,546.9592328726602
048446-2018,3/6/2018 0:00:00,2534033.3722631,6999230.78763051,64,48914,54276,2210,546.9592328726602
048441-2018,3/6/2018 0:00:00,2534033.3722631,6999230.78763051,64,48914,54276,2210,546.9592328726602
041955-2018,2/27/2018 0:00:00,2533896.18815428,6999225.6147406,57,48913,54276,2210,543.7091209419542
062534-2018,3/24/2018 0:00:00,2533760.0050277,6999510.24146794,82,49006,54276,2210,555.0149915399834
069141-2018,3/31/2018 0:00:00,2533387.87256986,6998857.68765494,89,48700,54276,2210,561.2581987000959
041956-2018,2/27/2018 0:00:00,2532784.7369651,6999437.13892385,57,49000,54276,2210,554.1635651096136
087873-2018,4/25/2018 0:00:00,2532895.37814802,6998938.0661031,114,48748,54276,2210,551.2284159008512
074737-2018,4/10/2018 0:00:00,2533015.7978546894,6999058.7804286,99,48772,54276,2210,547.0661887772593
092357-2018,5/1/2018 0:00:00,2533849.5678407,6999167.150290608,120,48913,54276,2210,543.7091209419542
073905-2018,4/8/2018 0:00:00,2532833.69027928,6999057.99007586,97,48772,54276,2210,547.0661887772593
